"filename", "language", "JavaScript", "JSON", "Properties", "CSS", "Markdown", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\mess\Documents\Projects\aapv2\client\README.md", "Markdown", 0, 0, 0, 0, -38, 0, 0, 0, -33, -71
"c:\Users\mess\Documents\Projects\aapv2\client\package-lock.json", "JSON", 0, -40841, 0, 0, 0, 0, 0, 0, -1, -40842
"c:\Users\mess\Documents\Projects\aapv2\client\package.json", "JSON", 0, -49, 0, 0, 0, 0, 0, 0, -50, -99
"c:\Users\mess\Documents\Projects\aapv2\client\public\index.html", "HTML", 0, 0, 0, 0, 0, -22, 0, -23, -1, -46
"c:\Users\mess\Documents\Projects\aapv2\client\public\manifest.json", "JSON", 0, -25, 0, 0, 0, 0, 0, 0, -1, -26
"c:\Users\mess\Documents\Projects\aapv2\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\mess\Documents\Projects\aapv2\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -46, -3, -4, -53
"c:\Users\mess\Documents\Projects\aapv2\client\src\App.test.js", "JavaScript", -7, 0, 0, 0, 0, 0, 0, 0, -2, -9
"c:\Users\mess\Documents\Projects\aapv2\client\src\Style\PageBody.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -14, 0, -6, -20
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Popups\CreatePost\CreatePost.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -152, -16, -9, -177
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Popups\CreatePost\ShelterPost.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -140, -16, -7, -163
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Popups\CreateProfile\CreateProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -268, -45, -21, -334
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Popups\EditProfile\EditPopUpForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -268, -36, -18, -322
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Popups\EditProfile\EditProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -20, 0, -3, -23
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Edit\SPEdit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -226, -31, -20, -277
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Edit\SPicForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -92, -27, -15, -134
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Edit\ShelterEdit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -52, 0, -8, -60
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Page\ComList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -64, 0, -6, -70
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Page\Comment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -59, -9, -8, -76
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Page\Dashpage.css", "CSS", 0, 0, 0, -148, 0, 0, 0, -2, -2, -152
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Page\Dashpage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -205, -1, -11, -217
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Page\Follow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -93, -2, -8, -103
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Page\Profile.css", "CSS", 0, 0, 0, -259, 0, 0, 0, -1, -4, -264
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Page\SComment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -68, 0, -7, -75
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Page\SFollowView.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -159, 0, -8, -167
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Page\SLike.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -92, -3, -11, -106
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Page\S_L_C_List.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -40, 0, -8, -48
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Dashboard\Shelter\Page\ShowComments.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -26, -6, -8, -40
